year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1960,Deadwood,Tropical Dry,16.699253005467064
1960,Deadwood,Tropical Moist,24.701251833860955
1960,Deadwood,Tropical Premontane Wet,29.172148607260894
1960,Litter,Tropical Dry,14.52742697438885
1960,Litter,Tropical Moist,21.361932621212667
1960,Litter,Tropical Premontane Wet,27.557562903473105
1960,Soil Carbon,Tropical Dry,77.10626543511394
1960,Soil Carbon,Tropical Moist,119.62172295900636
1960,Soil Carbon,Tropical Premontane Wet,139.47238687451116
1960,Total Biomass,Tropical Dry,105.53360010244862
1960,Total Biomass,Tropical Moist,158.04844756826608
1960,Total Biomass,Tropical Premontane Wet,166.9959426906981
