Classifier1,Classifier2,AIDBSPP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
BF,7,Poplar/aspen,0,0,1.2,5.9,15,27.9,45.6,66,89,112.1,134.4,155.7,175.3,193.1,208.8,220.6,231,239.1,245.6,250.8,255.1,257.2,259.1,260.4,261.7,263,264.3,265.5,266.7,267.9,269,269.5,269.5,269.5,269.4,269.4
BP,5,Balsam fir,0,0,0,0,0,0.6,2.3,5.8,11.3,19.2,29.2,43.4,60.5,80.1,101.1,121.4,138,150,158.4,164.3,168.5,170.1,169.4,169.2,169.1,169,169,169.1,169.1,169.2,169.2,169.3,169.1,168.8,168.5,168.2
BP,6,Subalpine fir (or alpine fir),0,0,0,0,0.2,24.3,62.7,112.4,165.4,219.1,269.6,314,345.4,367.8,387.4,401.4,410,414.1,416.9,419,421.1,421.8,422.9,423.9,425,426,426.9,427.9,428.8,429.6,430.4,431.2,431.4,431.4,431.4,431.4
BS,5,Hemlock,0,0,0,0.1,0.5,1.2,2.5,3.9,5.6,8.1,25.9,49,78.7,115.9,159.1,205.8,247.4,278.8,302,319.2,332.2,342,344.9,347.7,350.2,352.5,354.6,356,357.3,358.4,358.9,359.2,358.9,357.9,356.9,355.7
GA,8,Mountain hemlock,0,0,0,0.1,0.5,1.2,2.5,3.9,5.6,8.1,25.9,49,78.7,115.9,159.1,205.8,247.4,278.8,302,319.2,332.2,342,344.9,347.7,350.2,352.5,354.6,356,357.3,358.4,358.9,359.2,358.9,357.9,356.9,355.7
JP,6,Whitebark pine,0,0,0,0,0,0,0,1.6,7.5,16.8,29.3,43.3,57.7,72,87.5,103,116.8,127.7,135.5,141.1,145.5,148.9,149.7,150.6,151.2,151.8,152.4,153,153.5,154.1,154.6,155.2,155.2,155,154.7,154.4
TA,5,Lodgepole pine,0,0,0,0,0,0.2,0.7,2.1,7.5,15,24.9,36.3,48.6,61.4,74.2,85.9,95.4,102.6,107.8,111.6,114.5,115.8,116.1,116.5,116.9,117.4,117.8,118.2,118.5,118.9,119.3,119.6,119.8,119.8,119.7,119.7
TA,7,Spruce,0,0,0,0,0,0,0.7,2.9,6.5,11.7,18.5,27.4,40.2,56.8,76.7,98.7,118.5,133.4,143.9,150.4,154.9,155.6,154.8,154.4,154.1,153.9,153.7,153.6,153.4,153.3,153.2,153.2,153.1,153.1,153,153
WB,7,Spruce,0,0,0,0,21.7,65.9,124,183.2,238.5,288,331.6,369.8,402.7,429.7,451.5,467.6,478.2,483.3,485.5,485.9,485.4,483.1,480.1,477.3,474.6,472.1,469.7,467.4,465.2,463.1,461.1,459.2,458.5,458.3,458.3,458.3
WS,6,Poplar/aspen,0,0,0,1.2,4.7,16.8,28.5,46.1,62.8,78.5,93.9,111.1,125.5,138.4,149.2,157.8,164.2,169.2,173.1,176.3,179,180.7,182,183.3,184.5,185.6,186.7,187.7,188.7,189.6,190.5,191.1,191.2,191.2,191.2,191.2
